stock_symbol,stock_price,stock_name
GANESHBE,144.5,Gandhi Special Tubes Limited
GANESHHOUC,965,Ganesha Ecosphere Limited
GANECOS,2294,Ganesh Benzoplast Limited
GANDHITUBE,759.1,Ganesh Housing Corporation Limited
GANGESSECU,223,Ganga Forging Limited
GANGOTRI,1.17,Ganges Securities Limited
GANGAFORGE,6.9,Gangotri Textiles Limited
GARFIBRES,4303,Garware Technical Fibres Limited
GATECH,0.74,Garuda Construction and Engineering Limited
GATEWAY,85,GACM Technologies Limited
GARUDA,101.5,GACM Technologies Limited
GATECHDVR,0.96,Gateway Distriparks Limited
GAYAHWS,1.3,Gayatri Highways Limited
GAYAPROJ,9.86,Gayatri Projects Limited
GEECEE,403,GeeCee Ventures Limited
GENCON,41.35,Geekay Wires Limited
GEEKAYWIRE,102.11,Generic Engineering Construction and Projects Limited
GENUSPOWER,413,Genesys International Corporation Limited
GENESYS,710.85,Gensol Engineering Limited
GENUSPAPER,23.45,Genus Paper & Boards Limited
GENSOL,807,Genus Power Infrastructures Limited
GEOJITFSL,133.83,Geojit Financial Services Limited
GEPIL,370.15,GE Power India Limited
GET&D,1768.9,The Great Eastern Shipping Company Limited
GESHIP,1242.75,GE T&D India Limited
GFSTEELS,8.49,GFL Limited
GFLLIMITED,119.34,Grand Foundry Limited
GHCL,589,GHCL Limited
GICHSGFIN,216.8,GHCL Textiles Limited
GHCLTEXTIL,88.45,GIC Housing Finance Limited
GILLANDERS,90.85,General Insurance Corporation of India
GICRE,380.3,Gillanders Arbuthnot & Company Limited
GINNIFILA,31.05,Gillette India Limited
GILLETTE,8603.9,Ginni Filaments Limited
GIPCL,216.8,Gujarat Industries Power Company Limited
GKWLIMITED,3050,GKW Limited
GLAND,1681,Gland Pharma Limited
GLENMARK,1714.2,GlaxoSmithKline Pharmaceuticals Limited
GLAXO,2636.1,Glenmark Pharmaceuticals Limited
GLOBALE,32.09,Gujarat Lease Financing Limited
GLOBAL,200,Global Education Limited
GLOSTERLTD,717,Globale Tessile Limited
GLOBUSSPR,1054.8,Global Vectra Helicorp Limited
GLOBE,4.75,Globe Textiles (India) Limited
GLS,1111,Globus Spirits Limited
GMBREW,805.15,Gloster Limited
GLOBALVECT,0,Glenmark Life Sciences Limited
GLFL,0,GM Breweries Limited
GMDCLTD,353.6,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,1435,GMM Pfaudler Limited
GMRINFRA,82.78,GMR Airports Infrastructure Limited
GMRP&UI,128,GMR Power and Urban Infra Limited
GNFC,640.75,GNA Axles Limited
GNA,420,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOCLCORP,417.7,Goa Carbon Limited
GOACARBON,752.15,GOCL Corporation Limited
GODFRYPHLP,6634,Go Fashion (India) Limited
GODHA,0.85,Godfrey Phillips India Limited
GODIGIT,358,Godha Cabcon & Insulation Limited
GOCOLORS,1209,Go Digit General Insurance Limited
GODREJCP,1315.8,Godrej Agrovet Limited
GODREJAGRO,763,Godrej Consumer Products Limited
GODREJIND,1014.5,Godrej Industries Limited
GODREJPROP,3039.9,Godrej Properties Limited
GOENKA,1.19,Goenka Diamond and Jewels Limited
GOKULAGRO,260.55,Gokaldas Exports Limited
GOKUL,52,Gokul Refoils and Solvent Limited
GOKEX,888,Gokul Agro Resources Limited
GOLDENTOBC,38.5,Golden Tobacco Limited
GOLDIAM,375,Goldiam International Limited
GOLDTECH,80,AION-TECH SOLUTIONS LIMITED
GOPAL,476,Goodluck India Limited
GOODLUCK,1022.65,Gopal Snacks Limited
GPPL,203.2,Goyal Aluminiums Limited
GPIL,193.2,Godawari Power And Ispat limited
GOYALALUM,9.42,Gujarat Pipavav Port Limited
GPTHEALTH,167.18,GPT Healthcare Limited
GPTINFRA,135.7,GPT Infraprojects Limited
GRANULES,590.2,Granules India Limited
GRAPHITE,549.8,Graphite India Limited
GRASIM,2712,Grasim Industries Limited
GREENLAM,510.8,Gravita India Limited
GRAVITA,2425,Greaves Cotton Limited
GREAVESCOT,191.97,Greenlam Industries Limited
GREENPANEL,390.85,Greenpanel Industries Limited
GREENPLY,391.5,Greenply Industries Limited
GREENPOWER,19.24,Orient Green Power Company Limited
GRMOVER,221,Grindwell Norton Limited
GRINFRA,1572.95,G R Infraprojects Limited
GRINDWELL,2381.55,GRM Overseas Limited
GRPLTD,3357,The Grob Tea Company Limited
GROBTEA,1120,GRP Limited
GRWRHITECH,3853.1,Garden Reach Shipbuilders & Engineers Limited
GSFC,211.5,Garware Hi-Tech Films Limited
GRSE,1805,Gujarat State Fertilizers & Chemicals Limited
GSLSU,192.01,Global Surfaces Limited
GSPL,391.4,Gujarat State Petronet Limited
GTL,13.61,GSS Infotech Limited
GTECJAINX,45.97,G-TEC JAINX EDUCATION LIMITED
GSS,72.3,GTL Limited
GTLINFRA,2.15,GTL Infrastructure Limited
GTPL,158.54,GTPL Hathway Limited
GUJALKALI,822.1,Gufic Biosciences Limited
GUJAPOLLO,310.55,Gujarat Alkalies and Chemicals Limited
GUFICBIO,448,Gujarat Apollo Industries Limited
GUJRAFFIA,44.01,Gujarat Gas Limited
GUJGASLTD,545.75,Gujarat Raffia Industries Limited
GULFPETRO,75.5,Gulf Oil Lubricants India Limited
GULFOILLUB,1250,GP Petroleums Limited
GULPOLY,205.56,Gulshan Polyols Limited
GVPTECH,11.99,GVK Power & Infrastructure Limited
GVKPIL,5.18,GVP Infotech Limited
HAL,4496.95,Hindustan Aeronautics Limited
HAPPSTMNDS,787.45,Happiest Minds Technologies Limited
HAPPYFORGE,1101.2,Happy Forgings Limited
HARDWYN,37.84,Hardwyn India Limited
HARIOMPIPE,617,Hariom Pipe Industries Limited
HARSHA,492.2,Harrisons  Malayalam Limited
HATHWAY,19.48,Harsha Engineers International Limited
HATSUN,1180,Hathway Cable & Datacom Limited
HARRMALAYA,0,Hatsun Agro Product Limited
HAVISHA,2.72,Havells India Limited
HCC,39.85,Sri Havisha Hospitality and Infrastructure Limited
HAVELLS,1814.95,HBL Power Systems Limited
HBLPOWER,592.25,HB Stockholdings Limited
HBSL,135,Hindustan Construction Company Limited
HCG,425.6,Healthcare Global Enterprises Limited
HCL-INSYS,17.85,HCL Infosystems Limited
HDFCAMC,4599,HCL Technologies Limited
HDIL,4.1,HDFC Asset Management Company Limited
HDFCLIFE,742.45,HDFC Bank Limited
HEADSUP,13.16,HDFC Life Insurance Company Limited
HEG,457.5,Housing Development and Infrastructure Limited
HECPROJECT,110.5,Heads UP Ventures Limited
HDFCBANK,1725,HEC Infra Projects Limited
HEIDELBERG,223.54,HEG Limited
HEMIPROP,189.98,HeidelbergCement India Limited
HERANBA,475,Hemisphere Properties India Limited
HERCULES,218.75,Heranba Industries Limited
HERITGFOOD,640.5,Hercules Hoists Limited
HEROMOTOCO,5242.35,Heritage Foods Limited
HCLTECH,1840.1,Hero MotoCorp Limited
HESTERBIO,2373,Hester Biosciences Limited
HEUBACHIND,542,Heubach Colorants India Limited
HEXATRADEX,291,Hexa Tradex Limited
HGINFRA,1405,HFCL Limited
HFCL,124,H.G. Infra Engineering Limited
HGS,763,Hinduja Global Solutions Limited
HIKAL,371.5,Hikal Limited
HILTON,81.01,HIL Limited
HIMATSEIDE,152.2,Hilton Metal Forging Limited
HIL,2800,Himatsingka Seide Limited
HINDCOMPOS,490.55,Hindalco Industries Limited
HINDALCO,737.7,Hindustan Composites Limited
HINDCON,47.07,Hindcon Chemicals Limited
HINDNATGLS,25.26,Hindustan Copper Limited
HINDCOPPER,314.6,Hindustan Motors Limited
HINDMOTORS,24.15,Hindusthan National Glass & Industries Limited
HINDOILEXP,210.8,Hindustan Oil Exploration Company Limited
HINDPETRO,413.85,Hindustan Petroleum Corporation Limited
HINDZINC,501.7,Hindustan Unilever Limited
HINDWAREAP,340,Hindware Home Innovation Limited
HINDUNILVR,2685.4,Hindustan Zinc Limited
HIRECT,1103.65,Hind Rectifiers Limited
HITECH,183.68,Hisar Metal Industries Limited
HISARMETAL,187.6,Hi-Tech Pipes Limited
HITECHCORP,302.6,Hitech Corporation Limited
HLEGLAS,372.9,The Hi-Tech Gears Limited
HITECHGEAR,801,HLE Glascoat Limited
HLVLTD,19.15,HLV LIMITED
HMT,78.97,HMA Agro Industries Limited
HMAAGRO,44.66,HMT Limited
HMVL,91.25,Hindustan Media Ventures Limited
HOMEFIRST,1128.8,Hindustan Foods Limited
HONASA,416.8,Home First Finance Company India Limited
HONAUT,51550,Honasa Consumer Limited
HNDFDS,607,Honeywell Automation India Limited
HOVS,76.25,Honda India Power Products Limited
HONDAPOWER,4022.5,HOV Services Limited
HPAL,87.35,HP Adhesives Limited
HPL,520.3,Hindprakash Industries Limited
HSCL,608.9,HPL Electric & Power Limited
HPIL,137.66,Himadri Speciality Chemical Limited
HUBTOWN,274,HT Media Limited
HUDCO,207.9,Hubtown Limited
HTMEDIA,25.39,Housing & Urban Development Corporation Limited
HYBRIDFIN,12.71,Huhtamaki India Limited
HUHTAMAKI,393,Hybrid Financial Services Limited
ICDSLTD,43.87,ICDS Limited
ICEMAKE,814.95,Ice Make Refrigeration Limited
ICICIBANK,1257.55,ICICI Bank Limited
ICICIPRULI,748,ICICI Lombard General Insurance Company Limited
ICIL,387.5,ICICI Prudential Life Insurance Company Limited
ICICIGI,2020.95,Indo Count Industries Limited
IEX,186.64,ICRA Limited
IEL,13.52,IDBI Bank Limited
IDBI,81.55,Vodafone Idea Limited
IFBAGRO,565,Ideaforge Technology Limited
ICRA,7056,IDFC First Bank Limited
IDFCFIRSTB,70.18,Indiabulls Enterprises Limited
IDEAFORGE,665,Indian Energy Exchange Limited
IDEA,8.52,IFB Agro Industries Limited
IFBIND,2329.85,IFB Industries Limited
IFCI,56.69,IFCI Limited
IGL,442,IFGL Refractories Limited
IGPL,570,Igarashi Motors India Limited
IFGLEXPOR,586.3,Indraprastha Gas Limited
IIFLSEC,421,IG Petrochemicals Limited
IKIO,275.5,IIFL Finance Limited
IIFL,436,IIFL Securities Limited
IGARASHI,696.75,Industrial Investment Trust Limited
IMAGICAA,77.4,IKIO Lighting Limited
IMFA,680,IL&FS Engineering and Construction Company Limited
IMPEXFERRO,3.4,IL&FS Transportation Networks Limited
INCREDIBLE,42,Imagicaaworld Entertainment Limited
IMPAL,1313,Indian Metals & Ferro Alloys Limited
IITL,0,India Motor Parts and Accessories Limited
INDBANK,45.18,Impex Ferro Tech Limited
INDGN,652.75,INCREDIBLE INDUSTRIES LIMITED
IL&FSENGG,38.9,Indbank Merchant Banking Services Limited
IL&FSTRANS,5.53,Indegene Limited
INDHOTEL,688,The Indian Hotels Company Limited
INDIACEM,360.25,The India Cements Limited
INDIANB,514,India Glycols Limited
INDIAMART,2519.2,Indiamart Intermesh Limited
INDIANCARD,261,Indian Bank
INDIAGLYCO,1319.55,Indian Card Clothing Company Limited
INDIASHLTR,705.2,Indian Hume Pipe Company Limited
INDIANHUME,445.35,India Shelter Finance Corporation Limited
INDIGOPNTS,1650,InterGlobe Aviation Limited
INDNIPPON,705,Indigo Paints Limited
INDIGO,4589.8,India Nippon Electricals Limited
INDOBORAX,201.7,Indo Amines Limited
INDOAMIN,185.9,Indo Borax & Chemicals Limited
INDORAMA,42.7,Indoco Remedies Limited
INDOCO,333,Indo Rama Synthetics (India) Limited
INDOSTAR,260,IndoStar Capital Finance Limited
INDOTECH,2400.95,Indo Tech Transformers Limited
INDOUS,260,Indo Thai Securities Limited
INDRAMEDCO,419.9,Indo Us Biotech Limited
INDSWFTLAB,125.16,Indowind Energy Limited
INDOWIND,22.02,Indraprastha Medical Corporation Limited
INDSWFTLTD,21.39,Ind-Swift Laboratories Limited
INDTERRAIN,53.52,Ind-Swift Limited
INDOTHAI,0,Indian Terrain Fashions Limited
INDUSTOWER,373.85,IndusInd Bank Limited
INDUSINDBK,1306.45,Indus Towers Limited
INFIBEAM,28.29,Infibeam Avenues Limited
INFOMEDIA,7.93,InfoBeans Technologies Limited
INGERRAND,4366,Infomedia Press Limited
INFOBEAN,394.45,Infosys Limited
INNOVACAP,725.65,Ingersoll Rand (India) Limited
INOXINDIA,1132,Innova Captab Limited
INFY,1850.1,Inox Green Energy Services Limited
INOXGREEN,177.65,INOX India Limited
INOXWIND,217.69,Inox Wind Limited
INSECTICID,799.35,Insecticides (India) Limited
INTERARCH,1576,Inspirisys Solutions Limited
INVENTURE,2.33,Intellect Design Arena Limited
INTELLECT,838,Intense Technologies Limited
IOC,159.75,Interarch Building Products Limited
IOB,53.18,International Conveyors Limited
INSPIRISYS,0,Inventure Growth & Securities Limited
INTLCONV,88.84,Indian Overseas Bank
INTENTECH,0,Indian Oil Corporation Limited
IOLCP,407,IOL Chemicals and Pharmaceuticals Limited
IONEXCHANG,673,ION Exchange (India) Limited
IRB,56.07,IPCA Laboratories Limited
IPCALAB,1621.85,India Pesticides Limited
IRCON,212.45,IRB Infrastructure Developers Limited
IPL,198,Ircon International Limited
IREDA,209.99,Indian Railway Catering And Tourism Corporation Limited
IRCTC,854.2,Indian Renewable Energy Development Agency Limited
IRMENERGY,399,Indian Railway Finance Corporation Limited
IRISDOREME,67.25,Iris Business Services Limited
IRFC,144.2,Iris Clothings Limited
ISFT,148,IRM Energy Limited
ISEC,849.85,ICICI Securities Limited
IRIS,0,Intrasoft Technologies Limited
ISGEC,1379,Isgec Heavy Engineering Limited
ITC,483.1,ITC Limited
ITI,235,India Tourism Development Corporation Limited
ITDCEM,567,ITD Cementation India Limited
ITDC,631.5,ITI Limited
IVP,219,IL&FS Investment Managers Limited
IWEL,12031,IVP Limited
IVC,11.2,Inox Wind Energy Limited
IXIGO,158,Le Travenues Technology Limited
J&KBANK,94.54,IZMO Limited
JAGRAN,88.61,The Jammu & Kashmir Bank Limited
JAGSNPHARM,485,Jagran Prakashan Limited
IZMO,402.8,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,1100,Jai Balaji Industries Limited
JAICORPLTD,358.2,Jai Corp Limited
JAIPURKURT,39,Nandani Creation Limited
JAMNAAUTO,115.04,Jamna Auto Industries Limited
JAYAGROGN,292.8,Jash Engineering Limited
JAYBARMARU,96.4,Jayant Agro Organics Limited
JASH,2454,Jay Bharat Maruti Limited
JAYSREETEA,140.48,Jayaswal Neco Industries Limited
JAYNECOIND,45.05,Jayshree Tea & Industries Limited
JBCHEPHARM,1905.9,JB Chemicals & Pharmaceuticals Limited
JCHAC,2534.5,JBM Auto Limited
JETAIRWAYS,38.24,Johnson Controls - Hitachi Air Conditioning India Limited
JBMA,1744.6,Jet Airways (India) Limited
JETFREIGHT,15.12,Jet Freight Logistics Limited
JGCHEM,383.45,J.G.Chemicals Limited
JINDALSAW,344.95,JHS Svendgaard Laboratories Limited
JHS,26.68,Jindal Photo Limited
JINDALPOLY,791.8,Jindal Poly Films Limited
JINDALPHOT,784.95,Jindal Saw Limited
JINDALSTEL,948.15,Jindal Steel & Power Limited
JINDRILL,640,Jindal Drilling And Industries Limited
JINDWORLD,300.5,Jindal Worldwide Limited
JIOFIN,326.4,Jio Financial Services Limited
JISLJALEQS,59.93,Jain Irrigation Systems Limited
JISLDVREQS,31.16,Jain Irrigation Systems Limited
JITFINFRA,805,JITF Infralogistics Limited
JKCEMENT,4219.2,JK Cement Limited
JKLAKSHMI,812,J.Kumar Infraprojects Limited
JKIL,720,JK Lakshmi Cement Limited
JKPAPER,472.3,JK Paper Limited
JKTYRE,398,JK Tyre & Industries Limited
JMA,100.5,Jupiter Life Line Hospitals Limited
JLHL,1335,Jullundur Motor Agency (Delhi) Limited
JNKINDIA,670,JM Financial Limited
JOCIL,195.1,JNK India Limited
JMFINANCIL,147,Jocil Limited
JPOLYINVST,824,Jaiprakash Associates Limited
JPASSOCIAT,7.71,Jindal Poly Investment and Finance Company Limited
JSWHL,10735,Jaiprakash Power Ventures Limited
JPPOWER,19.13,Jana Small Finance Bank Limited
JSFB,509,Jindal Stainless Limited
JSWENERGY,686.1,JSW Energy Limited
JSWINFRA,309.85,JSW Holdings Limited
JSWSTEEL,981,JSW Infrastructure Limited
JTEKTINDIA,170.6,JSW Steel Limited
JUBLFOOD,619.8,Jtekt India Limited
JTLIND,208.12,JTL INDUSTRIES LIMITED
JUBLINGREA,732,Jubilant Foodworks Limited
JUBLINDS,1690,Jubilant Industries Limited
JYOTHYLAB,521,Jubilant Ingrevia Limited
JUNIPER,366.9,Jubilant Pharmova Limited
JUBLPHARMA,1190.95,Juniper Hotels Limited
JUSTDIAL,1158,Just Dial Limited
JSL,698.45,Jupiter Wagons Limited
JWL,506.7,Jyothy Labs Limited
JYOTICNC,1081.4,Jyoti CNC Automation Limited
JYOTISTRUC,30.58,Jyoti Structures Limited
KAJARIACER,1353.1,Kabra Extrusion Technik Limited
KABRAEXTRU,450,Kajaria Ceramics Limited
KAKATCEM,202.43,Kakatiya Cement Sugar & Industries Limited
KALYANI,119.3,Sai Silks (Kalamandir) Limited
KALYANIFRG,474.95,Kalyani Commercials Limited
KALAMANDIR,165.79,Kalyani Forge Limited
KALYANKJIL,702.5,Kalyan Jewellers India Limited
KAMDHENU,497.1,Kamat Hotels (I) Limited
KAMATHOTEL,200.79,Kamdhenu Limited
KANORICHEM,133.5,Kamdhenu Ventures Limited
KANANIIND,2.74,Kanani Industries Limited
KAPSTON,272,Kanoria Chemicals & Industries Limited
KAMOPAINTS,22.37,Kanpur Plastipack Limited
KANPRPLA,118.33,Kansai Nerolac Paints Limited
KANSAINER,278,Kapston Services Limited
KARMAENG,72.5,Karma Energy Limited
KAUSHALYA,948.4,Karur Vysya Bank Limited
KARURVYSYA,221.86,Kaushalya Infrastructure Development Corporation Limited
KAVVERITEL,56.99,Kavveri Telecom Products Limited
KAYA,459.9,Kaya Limited
KAYNES,5653,Kaynes Technology India Limited
KBCGLOBAL,2.28,KBC Global Limited
KCPSUGIND,51,KCP Limited
KEC,977.05,KCP Sugar and Industries Corporation Limited
KDDL,2785,KDDL Limited
KCP,221.5,KEC International Limited
KELLTONTEC,146.85,Kirloskar Electric Company Limited
KEI,4062,DSJ Keep Learning Limited
KECL,189.45,KEI Industries Limited
KERNEX,735,Kellton Tech Solutions Limited
KFINTECH,1035,Kernex Microsystems (India) Limited
KEEPLEARN,5.92,Kesoram Industries Limited
KEYFINSERV,292.2,Keynote Financial Services Limited
KESORAMIND,205.59,Kfin Technologies Limited
KHADIM,400.05,Khadim India Limited
KHAICHEM,73.1,Khaitan Chemicals & Fertilizers Limited
KHANDSE,28,Khaitan (India) Limited
KHAITANLTD,89,Khandwala Securities Limited
KICL,7839.5,Kalyani Investment Company Limited
KILITCH,325,Kilitch Drugs (India) Limited
KIOCL,356.7,Krishna Institute of Medical Sciences Limited
KIMS,546.2,Kingfa Science & Technology (India) Limited
KINGFA,3101,KIOCL Limited
KIRLOSBROS,1840.2,Kiri Industries Limited
KIRIINDUS,369.55,Kirloskar Brothers Limited
KIRLOSENG,1147.05,Kirloskar Oil Engines Limited
KIRLOSIND,4927,Kirloskar Industries Limited
KIRLPNU,1448,Kirloskar Pneumatic Company Limited
KITEX,485.05,Kitex Garments Limited
KOLTEPATIL,389.25,Kewal Kiran Clothing Limited
KOKUYOCMLN,165.5,K.M.Sugar Mills Limited
KNRCON,305.9,KNR Constructions Limited
KMSUGAR,35.67,Kohinoor Foods Limited
KKCL,637,Kokuyo Camlin Limited
KOHINOOR,42.48,Kolte - Patil Developers Limited
KOPRAN,300,Kopran Limited
KOTAKBANK,1782.5,Kotak Mahindra Bank Limited
KOTARISUG,51.5,Kothari Sugars And Chemicals Limited
KOTHARIPRO,154.5,Kothari Petrochemicals Limited
KPIGREEN,800.5,Kothari Products Limited
KOTHARIPET,221.99,KPI Green Energy Limited
KRBL,287.9,Kalpataru Projects International Limited
KPIL,1276,KPIT Technologies Limited
KPITTECH,1734.05,K.P.R. Mill Limited
KPRMILL,918.15,KRBL Limited
KRIDHANINF,4.71,Krebs Biochemicals and Industries Limited
KRITIKA,12.8,Kridhan Infra Limited
KRISHANA,216,Krishana Phoschem Limited
KRITI,208,Kriti Industries (India) Limited
KRITINUT,147.68,Kritika Wires Limited
KRONOX,166.71,Kriti Nutrients Limited
KREBSBIO,0,KRN Heat Exchanger and Refrigeration Limited
KRN,452,Kronox Lab Sciences Limited
KROSS,179.22,Kross Limited
KRSNAA,821.1,Krsnaa Diagnostics Limited
KRYSTAL,722,Krystal Integrated Services Limited
KSB,885.1,Ksb Limited
KSL,806,Kaveri Seed Company Limited
KSHITIJPOL,7.01,Kshitij Polyline Limited
KSCL,885,Kalyani Steels Limited
KSOLVES,982.45,Ksolves India Limited
KTKBANK,216.92,The Karnataka Bank Limited
KUANTUM,131.95,Kuantum Papers Limited
LAGNAM,112.4,Lagnam Spintex Limited
LAKPRE,6.68,Lakshmi Precision Screws Limited
LALPATHLAB,3280,Lorenzini Apparels Limited
LAL,24,Dr. Lal Path Labs Ltd.
LAMBODHARA,155,Lambodhara Textiles Limited
LASA,26.15,Lancor Holdings Limited
LANDMARK,641.9,Landmark Cars Limited
LATENTVIEW,476.35,La Opala RG Limited
LAOPALA,341.4,Lasa Supergenerics Limited
LANCORHOL,36.6,Latent View Analytics Limited
LAURUSLABS,462.1,Latteys Industries Limited
LAXMICOT,34.52,Laurus Labs Limited
LEMONTREE,119.95,Laxmi Cotspin Limited
LEXUS,43.14,LCC Infotech Limited
LFIC,264.15,Lemon Tree Hotels Limited
LGBBROSLTD,1309,Lexus Granito (India) Limited
LATTEYS,0,Lakshmi Finance & Industrial Corporation Limited
LIBERTSHOE,552,LG Balakrishnan & Bros Limited
LIBAS,16.9,Laxmi Goldorna House Limited
LGHL,290,Libas Consumer Products Limited
LCCINFOTEC,0,Liberty Shoes Limited
LICHSGFIN,606,LIC Housing Finance Limited
LIKHITHA,363.4,Life Insurance Corporation Of India
LICI,922.95,Likhitha Infrastructure Limited
LINC,605.3,Linc Limited
LINCOLN,659,Lincoln Pharmaceuticals Limited
LMW,16540.4,Linde India Limited
LINDEINDIA,8157,LLOYDS ENGINEERING WORKS LIMITED
LLOYDSENGG,78.9,Lloyds Enterprises Limited
LLOYDSENT,51.12,Lloyds Metals And Energy Limited
LLOYDSME,999.75,LMW Limited
LODHA,1135.05,Macrotech Developers Limited
LORDSCHLO,134,Lokesh Machines Limited
LOKESHMACH,373,Lords Chloro Alkali Limited
LOTUSEYE,71.9,Lotus Eye Hospital and Institute Limited
LOVABLE,132.5,Lovable Lingerie Limited
LPDC,10.6,Loyal Textile Mills Limited
LOYALTEX,548.75,Landmark Property Development Company Limited
LTIM,5923,Larsen & Toubro Limited
LTFOODS,410.5,L&T Finance Limited
LT,3577,LT Foods Limited
LTF,157.49,LTIMindtree Limited
LTTS,5255,L&T Technology Services Limited
LUMAXTECH,546,Lumax Industries Limited
LUMAXIND,2571,Lumax Auto Technologies Limited
LUPIN,2144.7,Lupin Limited
M&M,2998.95,Lux Industries Limited
LYKALABS,143,Laxmi Organic Industries Limited
LXCHEM,268,Lyka Labs Limited
LYPSAGEMS,7.15,Lypsa Gems & Jewellery Limited
LUXIND,1941,Mahindra & Mahindra Limited
MAANALU,231.4,Mahindra & Mahindra Financial Services Limited
MACPOWER,1215,Maan Aluminium Limited
M&MFIN,289,Macpower CNC Machines Limited
MADRASFERT,95.05,Madhav Marbles and Granites Limited
MADHAV,51.51,Madhucon Projects Limited
MAGADSUGAR,787,Madras Fertilizers Limited
MADHUCON,12.11,Magadh Sugar & Energy Limited
MAGNUM,46.37,Magnum Ventures Limited
MAHABANK,52.19,Bank of Maharashtra
MAHAPEXLTD,152,Maha Rashtra Apex Corporation Limited
MAHESHWARI,62.32,Mahamaya Steel Industries Limited
MAHEPC,119.55,Mahindra EPC Irrigation Limited
MAHASTEEL,218,Maheshwari Logistics Limited
MAHLOG,490,Mahindra Lifespace Developers Limited
MAHLIFE,508.25,Mahindra Logistics Limited
MAHSCOOTER,12340.1,Maharashtra Scooters Limited
MAHSEAMLES,602,Maharashtra Seamless Limited
MAITHANALL,1036,Maithan Alloys Limited
MALLCOM,1524,Mallcom (India) Limited
MALUPAPER,45.9,Malu Paper Mills Limited
MANAKCOAT,59.5,Manaksia Aluminium Company Limited
MANAKALUCO,30.44,Manaksia Coated Metals & Industries Limited
MANALIPETC,70.96,Manaksia Limited
MANAKSTEEL,66.9,Manaksia Steels Limited
MANAKSIA,95.25,Manali Petrochemicals Limited
MANCREDIT,139.04,Manappuram Finance Limited
MANAPPURAM,146.3,Manba Finance Limited
MANBA,156,Mangal Credit and Fincorp Limited
MANGLMCEM,809.95,Mangalam Drugs And Organics Limited
MANGALAM,115.9,Mangalore Chemicals & Fertilizers Limited
MANINDS,310.9,Mangalam Cement Limited
MANKIND,2631.2,Man Industries (India) Limited
MANOMAY,205.79,Man Infraconstruction Limited
MANINFRA,189.9,Mankind Pharma Limited
MANGCHEFER,132.45,Manomay Tex India Limited
MANORAMA,974,Manorama Industries Limited
MANYAVAR,1318,Mangalam Organics Limited
MAPMYINDIA,2138,Manugraph India Limited
MARALOVER,74.48,Vedant Fashions Limited
MANORG,554.9,C.E. Info Systems Limited
MANUGRAPH,23.52,Maral Overseas Limited
MARICO,662.6,Marathon Nextgen Realty Limited
MARATHON,589.9,Marico Limited
MARKSANS,273.9,Marine Electricals (India) Limited
MARSHALL,33.45,Marksans Pharma Limited
MARINE,221.43,Marshall Machines Limited
MARUTI,12140.05,Maruti Suzuki India Limited
MASFIN,295,MAS Financial Services Limited
MASTEK,2879,Mask Investments Limited
MAWANASUG,109.15,Mastek Limited
MATRIMONY,806.25,Matrimony.Com Limited
MASKINVEST,0,Mawana Sugars Limited
MAXHEALTH,950,Max Estates Limited
MAXESTATES,590.3,Max Healthcare Institute Limited
MAXIND,264,Max India Limited
MAZDOCK,4655,Mayur Uniquoters Ltd
MAYURUNIQ,603,Mazda Limited
MBAPL,228,Mazagon Dock Shipbuilders Limited
MAZDA,1290,Madhya Bharat Agro Products Limited
MCL,35.7,Mcnally Bharat Engineering Company Limited
MEDANTA,1040,MBL Infrastructure Limited
MEDIASSIST,628.8,Madhav Copper Limited
MBLINFRA,57.6,Mcleod Russel India Limited
MCX,6600.65,Multi Commodity Exchange of India Limited
MEDICAMEQ,513,Global Health Limited
MCLEODRUSS,29.66,Medi Assist Healthcare Services Limited
MBECL,4.47,Medicamen Biotech Limited
MEP,3.42,Medico Remedies Limited
METROBRAND,1213,Medplus Health Services Limited
MEDICO,50.8,Megasoft Limited
MEGASTAR,245,Megastar Foods Limited
MENONBE,122.4,Menon Bearings Limited
MFML,55.25,MEP Infrastructure Developers Limited
MEDPLUS,687,Metro Brands Limited
METROPOLIS,2210.1,Metropolis Healthcare Limited
MEGASOFT,65.76,Mahalaxmi Fabric Mills Limited
MFSL,1193,Max Financial Services Limited
MHRIL,378,Mangalam Global Enterprise Limited
MIRCELECTR,21.85,Mahanagar Gas Limited
MHLXMIRU,157,Mahalaxmi Rubtech Limited
MIDHANI,361,Mahindra Holidays & Resorts India Limited
MGL,1563.65,MIC Electronics Limited
MINDACORP,523.8,Mishra Dhatu Nigam Limited
MGEL,27.51,Minda Corporation Limited
MICEL,90.58,Mindteck (India) Limited
MIRZAINT,42.57,MIRC Electronics Limited
MINDTECK,0,Mirza International Limited
MITCON,105.3,MITCON Consultancy & Engineering Services Limited
MITTAL,2.07,Mittal Life Style Limited
MMTC,79.18,M K Proteins Limited
MMP,375.15,MM Forgings Limited
MKPL,9.06,MMP Industries Limited
MODISONLTD,172.7,MMTC Limited
MMFL,533.2,Modi Rubber Limited
MODIRUBBER,129.15,MODISON LIMITED
MODTHREAD,58.65,Modern Threads (India) Limited
MOHITIND,28,Mohit Industries Limited
MOIL,357.2,MOIL Limited
MOL,105.51,Moksh Ornaments Limited
MOLDTECH,218.99,Meghmani Organics Limited
