stock_symbol,stock_price,stock_name
ARIHANTCAP,120.25,Arihant Superstructures Limited
ARKADE,145.46,Arkade Developers Limited
ARSHIYA,3.6,Arman Financial Services Limited
ARMANFIN,1475,Aro Granite Industries Limited
ARROWGREEN,768,Arrow Greentech Limited
AROGRANITE,54,Arshiya Limited
ARTEMISMED,277.5,ARSS Infrastructure Projects Limited
ARTNIRMAN,60.64,Artemis Medicare Services Limited
ARVINDFASN,589.5,Art Nirman Limited
ARSSINFRA,18.29,Arvee Laboratories (India) Limited
ARVIND,355.9,Arvind Limited
ARVEE,214.36,Arvind Fashions Limited
ASAHIINDIA,702,Arvind SmartSpaces Limited
ARVSMART,833.35,Asahi India Glass Limited
ASAL,692.75,Asahi Songwon Colors Limited
ASALCBR,924.85,Automotive Stampings and Assemblies Limited
ASHAPURMIN,308,Associated Alcohols & Breweries Ltd.
ASAHISONG,447.95,Ashapura Minechem Limited
ASHIANA,306.5,Ashiana Housing Limited
ASHIMASYN,32.4,Ashima Limited
ASHOKA,238.27,Ashoka Buildcon Limited
ASHOKAMET,28.52,Ashoka Metcast Limited
ASHOKLEY,217.75,Ashok Leyland Limited
ASIANENE,356,Asian Energy Services Limited
ASIANHOTNR,189.71,Asian Hotels (North) Limited
ASIANPAINT,3043,Asian Paints Limited
ASIANTILES,71.3,Asian Granito India Limited
ASMS,21.55,ASK Automotive Limited
ASKAUTOLTD,420.4,Bartronics India Limited
ASPINWALL,275.2,Aspinwall and Company Limited
ASTERDM,427.05,Astec LifeSciences Limited
ASTRAL,1855,Aster DM Healthcare Limited
ASTEC,1077.15,Astral Limited
ATALREAL,9.93,Astra Microwave Products Limited
ASTRAZEN,7363.15,AstraZeneca Pharma India Limited
ASTRAMICRO,765,Astron Paper & Board Mill Limited
ASTRON,21.25,Atal Realtech Limited
ATFL,961,Atam Valves Limited
ATAM,145.3,Agro Tech Foods Limited
ATLANTAA,50.18,Adani Total Gas Limited
ATUL,7580.6,Allcargo Terminals Limited
ATULAUTO,625,ATLANTAA LIMITED
AURIONPRO,1723.6,Atul Limited
AUROPHARMA,1458,Atul Auto Limited
AUBANK,665.25,AU Small Finance Bank Limited
AURUM,192.65,Aurionpro Solutions Limited
AUSOMENT,157.99,Aurobindo Pharma Limited
ATL,40.2,Aurum PropTech Limited
ATGL,718.75,Ausom Enterprise Limited
AUTOAXLES,1836.6,Automotive Axles Limited
AUTOIND,110,Autoline Industries Limited
AVALON,562.2,Avadh Sugar & Energy Limited
AVADHSUGAR,643.9,Avalon Technologies Limited
AVG,517,Avantel Limited
AVANTEL,178.25,Avanti Feeds Limited
AVANTIFEED,596,AVG Logistics Limited
AVTNPL,84.4,Avonmore Capital & Management Services Limited
AVROIND,153.9,AVRO INDIA LIMITED
AWFIS,746.9,AVT Natural Products Limited
AXISCADES,511.5,Awfis Space Solutions Limited
AWL,323.95,Antony Waste Handling Cell Limited
AWHCL,779,Adani Wilmar Limited
AXISBANK,1189,Axis Bank Limited
AZAD,,AXISCADES Technologies Limited
AVONMORE,0,Axita Cotton Limited
AXITA,14.88,AYM Syntex Limited
BAFNAPH,80,Azad Engineering Limited
BAJAJ-AUTO,10501,Bafna Pharmaceuticals Limited
BAGFILMS,11.02,B.A.G Films and Media Limited
AYMSYNTEX,245.7,Baid Finserv Limited
BAIDFIN,16,Bajaj Auto Limited
BAJAJFINSV,1758.55,Bajaj Consumer Care Limited
BAJAJCON,225.95,Bajaj Electricals Limited
BAJAJELEC,860.8,Bajaj Finserv Limited
BAJAJHIND,36.25,Bajaj Healthcare Limited
BAJEL,256.5,Bajaj Housing Finance Limited
BAJAJHLDNG,10309,Bajaj Hindusthan Sugar Limited
BALAJEE,72,Bajaj Holdings & Investment Limited
BAJFINANCE,6758,Bajel Projects Limited
BALAMINES,2139,Bajaj Finance Limited
BALAJITELE,60.67,Shree Tirupati Balajee Agro Trading Company Limited
BAJAJHFL,136.8,Balaji Telefilms Limited
BALKRISHNA,25.3,Balaji Amines Limited
BALAXI,94.05,BALAXI PHARMACEUTICALS LIMITED
BALMLAWRIE,248.15,Balkrishna Paper Mills Limited
BALKRISIND,2962.05,Balkrishna Industries Limited
BALRAMCHIN,627.3,Balmer Lawrie & Company Limited
BALPHARMA,129.74,Bal Pharma Limited
BAJAJHCARE,376,Balrampur Chini Mills Limited
BALUFORGE,822,Balu Forge Industries Limited
BANCOINDIA,699.5,Banaras Beads Limited
BANDHANBNK,184.38,Bannari Amman Sugars Limited
BANARISUG,3700,Banco Products (I) Limited
BANARBEADS,137.9,Bandhan Bank Limited
BANKA,126.26,Bang Overseas Limited
BANG,54.5,Banka BioLoo Limited
BANKINDIA,104,Bank of Baroda
BANKBARODA,245.2,Bank of India
BANSALWIRE,423.2,Bansal Wire Industries Limited
BARBEQUE,612.65,Banswara Syntex Limited
BANSWRAS,135.7,Barbeque Nation Hospitality Limited
BAYERCROP,6690,BASF India Limited
BASF,7708.85,Bannari Amman Spinning Mills Limited
BASML,55.25,Bata India Limited
BATAINDIA,1434,Bayer Cropscience Limited
BBL,4734.95,Bharat Bijlee Limited
BBOX,484.8,Black Box Limited
BBTC,2800,Bombay Burmah Trading Corporation Limited
BBTCL,221,B&B Triplewall Containers Limited
BCONCEPTS,582,Bcl Industries Limited
BDL,1115,Brand Concepts Limited
BECTORFOOD,1810,Bharat Dynamics Limited
BEARDSELL,45.92,Beardsell Limited
BCLIND,55.1,Mrs. Bectors Food Specialities Limited
BEL,281.6,Bedmutha Industries Limited
BEPL,148.6,Bharat Electronics Limited
BEDMUTHA,233.72,BEML Limited
BEML,4040,Bhansali Engineering Polymers Limited
BERGEPAINT,556,Berger Paints (I) Limited
BESTAGRO,588.1,Best Agrolife Limited
